# $Id: optab-x86.dat,v 1.1.1.1 2004/04/26 00:40:21 pa33 Exp $
#
# File format:
# <Instruction> <Operands> <Opcodes> [flag]
#
# NOTE: The accompanying script "optab.pl" requires the instruction
#       names to be in alphabetical order.
#
# Possible values of the [flag] are as follows:
#
#  0 - 7   : column of modR/M table to use
#  r       : can use any column
#  c       : register code (Table 3.1 in Instruction Set Reference)
#  f       : FPU stack register code
#
# The nomenclature of this file deviates from Intel's Instruction
# Set Reference in the following ways:
#
# Intel                                 Me
# /r                                    "r" in [flag] column
# /digit                                "digit" in [flag] column
# +rb/+rw/+rd                           "c" in [flag] column
# +i                                    "f" in [flag] column
# cr0                                   r(cr0)
# cr2                                   r(cr2)
# cr3                                   r(cr3)
# cr4                                   r(cr4)
# ib                                    imm8
# iw                                    imm16
# id                                    imm32
# m16&16                                mem16
# m16&32                                mem32
# m32&32                                mem32
# m8                                    mem8
# m16                                   mem16
# m32                                   mem32
# m64                                   mem64
# m80                                   mem80
# m16:16                                rm16
# m16:32                                rm32
# mm                                    mmxreg
# mm1                                   mmxreg
# mm/m64                                mem64
# moffs{8,16,32}                        moffs
# ptr16:16                              ptr16:16
# ptr16:32                              ptr16:32
# Sreg                                  segreg
# st(0)                                 r(st0)
# st(i)                                 fpureg
# xmm                                   xmmreg
# xmm1                                  xmmreg
# xmm?/m*                               mem128
# r32 (using rm field)                  reg32_rm
#
# no operands                           void
# no operands/32 bit addressing         void32
# numerical constant (ie: 1)            const<number>
#
# For opcodes which require specific registers (ie: al,ax etc)
# I will use the syntax: r##(register). Where ## is an optional
# size of the register. So, for al, it would be: r8(al)
#
# The rest of the nomenclature of this file is mostly identical to
# that of intel.

AAA       void                37

AAD       void                D5,0A
AAD       imm8                D5

AAM       void                D4,0A
AAM       imm8                D4

AAS       void                3F

ADC       r8(al),imm8         14
ADC       r16(ax),imm16       15
ADC       r32(eax),imm32      15
ADC       rm8,imm8            80                 2
ADC       rm16,imm16          81                 2
ADC       rm32,imm32          81                 2
ADC       rm16,imm8           83                 2
ADC       rm32,imm8           83                 2
ADC       rm8,reg8            10                 r
ADC       rm16,reg16          11                 r
ADC       rm32,reg32          11                 r
ADC       reg8,rm8            12                 r
ADC       reg16,rm16          13                 r
ADC       reg32,rm32          13                 r

ADD       r8(al),imm8         04
ADD       r16(ax),imm16       05
ADD       r32(eax),imm32      05
ADD       rm8,imm8            80                 0
ADD       rm16,imm16          81                 0
ADD       rm32,imm32          81                 0
ADD       rm16,imm8           83                 0
ADD       rm32,imm8           83                 0
ADD       rm8,reg8            00                 r
ADD       rm16,reg16          01                 r
ADD       rm32,reg32          01                 r
ADD       reg8,rm8            02                 r
ADD       reg16,rm16          03                 r
ADD       reg32,rm32          03                 r

ADDPS     xmmreg,mem128       0F,58              r

AND       r8(al),imm8         24
AND       r16(ax),imm16       25
AND       r32(eax),imm32      25
AND       rm8,imm8            80                 4
AND       rm16,imm16          81                 4
AND       rm32,imm32          81                 4
AND       rm16,imm8           83                 4
AND       rm32,imm8           83                 4
AND       rm8,reg8            20                 r
AND       rm16,reg16          21                 r
AND       rm32,reg32          21                 r
AND       reg8,rm8            22                 r
AND       reg16,rm16          23                 r
AND       reg32,rm32          23                 r

ARPL      rm16,reg16          63                 r

BOUND     reg16,mem16         62                 r
BOUND     reg32,mem32         62                 r

BSF       reg16,rm16          0F,BC              r
BSF       reg32,rm32          0F,BC              r

BSR       reg16,rm16          0F,BD              r
BSR       reg32,rm32          0F,BD              r

BSWAP     reg32               0F,C8              c

BT        rm16,reg16          0F,A3              r
BT        rm32,reg32          0F,A3              r
BT        rm16,imm8           0F,BA              4
BT        rm32,imm8           0F,BA              4

BTC       rm16,reg16          0F,BB              r
BTC       rm32,reg32          0F,BB              r
BTC       rm16,imm8           0F,BA              7
BTC       rm32,imm8           0F,BA              7

BTR       rm16,reg16          0F,B3              r
BTR       rm32,reg32          0F,B3              r
BTR       rm16,imm8           0F,BA              6
BTR       rm32,imm8           0F,BA              6

BTS       rm16,reg16          0F,AB              r
BTS       rm32,reg32          0F,AB              r
BTS       rm16,imm8           0F,BA              5
BTS       rm32,imm8           0F,BA              5

CALL      rel16|near          E8
CALL      rel32|near          E8
CALL      rm16|near           FF                 2
CALL      rm32|near           FF                 2
CALL      ptr16:16|far        9A
CALL      ptr16:32|far        9A
CALL      rm16|far            FF                 3
CALL      rm32|far            FF                 3

CBW       void                98

CDQ       void32              99

CLC       void                F8
CLD       void                FC
CLI       void                FA
CLTS      void                0F,06

CMC       void                F5

# CMOVA and CMOVNBE have the exact same opcode - we shall use
# CMOVA for this opcode.
CMOVA     reg16,rm16          0F,47              r
CMOVA     reg32,rm32          0F,47              r

# CMOVB, CMOVC, and CMOVNAE have the exact opcode - we shall use
# CMOVC for this opcode.
CMOVC     reg16,rm16          0F,42              r
CMOVC     reg32,rm32          0F,42              r

CMOVE     reg16,rm16          0F,44              r
CMOVE     reg32,rm32          0F,44              r
CMOVG     reg16,rm16          0F,4F              r
CMOVG     reg32,rm32          0F,4F              r

# CMOVL and CMOVNGE have the exact same opcode - we shall use
# CMOVL for this opcode.
CMOVL     reg16,rm16          0F,4C              r
CMOVL     reg32,rm32          0F,4C              r

# CMOVLE and CMOVNG have the exact same opcode - we shall use
# CMOVLE for this opcode.
CMOVLE    reg16,rm16          0F,4E              r
CMOVLE    reg32,rm32          0F,4E              r

# CMOVBE and CMOVNA have the exact same opcode - we shall use
# CMOVNA for this opcode.
CMOVNA    reg16,rm16          0F,46              r
CMOVNA    reg32,rm32          0F,46              r

# CMOVAE, CMOVNB, and CMOVNC have the exact same opcode - we shall
# use CMOVNC for this opcode.
CMOVNC    reg16,rm16          0F,43              r
CMOVNC    reg32,rm32          0F,43              r

CMOVNE    reg16,rm16          0F,45              r
CMOVNE    reg32,rm32          0F,45              r

# CMOVGE and CMOVNL have the exact same opcode - we shall use
# CMOVNL for this opcode.
CMOVNL    reg16,rm16          0F,4D              r
CMOVNL    reg32,rm32          0F,4D              r

CMOVNO    reg16,rm32          0F,41              r
CMOVNO    reg32,rm32          0F,41              r
CMOVNP    reg16,rm16          0F,4B              r
CMOVNP    reg32,rm32          0F,4B              r
CMOVNS    reg16,rm16          0F,49              r
CMOVNS    reg32,rm32          0F,49              r
CMOVO     reg16,rm16          0F,40              r
CMOVO     reg32,rm32          0F,40              r
CMOVP     reg16,rm32          0F,4A              r
CMOVP     reg32,rm32          0F,4A              r
CMOVS     reg16,rm16          0F,48              r
CMOVS     reg32,rm32          0F,48              r

CMP       r8(al),imm8         3C
CMP       r16(ax),imm16       3D
CMP       r32(eax),imm32      3D
CMP       rm8,imm8            80                 7
CMP       rm16,imm16          81                 7
CMP       rm32,imm32          81                 7
CMP       rm16,imm8           83                 7
CMP       rm32,imm8           83                 7
CMP       rm8,reg8            38                 r
CMP       rm16,reg16          39                 r
CMP       rm32,reg32          39                 r
CMP       reg8,rm8            3A                 r
CMP       reg16,rm16          3B                 r
